Date Signed,Mitigation Finance ($ million),Adaptation Finance ($ million)
2022-01-01,0.15,0.43
2022-02-01,1.772,2.227
2022-03-01,265.067,127.205
2022-04-01,10.155,40.297
2022-05-01,3.8609999999999998,12.45
2022-06-01,210.99099999999999,284.389
2022-07-01,2.678,2.753
2022-08-01,84.15700000000001,39.80500000000001
2022-09-01,126.055,18.741
2022-10-01,86.967,362.619
2022-11-01,134.156,197.632
2022-12-01,1657.0810000000001,1742.254
2023-01-01,86.02,15.155
2023-02-01,448.897400473,135.21
2023-03-01,318.74380216,55.33322692
2023-04-01,85.902,142.183
2023-05-01,7.6733688,75.2825
2023-06-01,626.0600000000001,215.624
2023-07-01,156.28551000000002,260.44997
2023-08-01,113.64309012,347.76
2023-09-01,21.725,321.825
2023-10-01,202.21514269000002,400.31546
2023-11-01,410.46608000000003,431.568
2023-12-01,2677.5975553,2177.352022
