LOCATION,TIME,Value,standarized
AUT,2015,9594.934,24.6165546612716
BEL,2015,3321.576,8.513287915112263
CZE,2015,3571.81,9.15562091299927
DNK,2015,4542.163,11.64644850436835
FIN,2015,10472.371,26.868873445557433
FRA,2015,21533.062,55.260885756961294
DEU,2015,38962.102,100.0
GRC,2015,2666.064,6.830634925866567
HUN,2015,1925.114,4.928668627184624
ISL,2015,5116.035,13.119537381832691
IRL,2015,1075.583,2.74798257321935
ITA,2015,26331.637,67.57848874190995
LUX,2015,194.532,0.48638690627822667
NLD,2015,3621.638,9.283525868435836
NOR,2015,13467.18,34.556336552365416
POL,2015,9072.711,23.276045117582306
PRT,2015,4752.88,12.187344155302101
SVK,2015,1390.609,3.5566320572716847
ESP,2015,17138.837,43.981220652938525
SWE,2015,22946.296,58.88855758387468
CHE,2015,5479.904,14.0535633959161
GBR,2015,13786.309,35.375518147523074
EST,2015,953.181,2.433785287449369
ISR,2015,1239.497,3.1687382299872184
SVN,2015,1052.921,2.689810820387539
AUT,2015,29.21,0.062017012991640134
BEL,2015,6.28,0.003157323095186978
CZE,2015,8.77,0.009548977165931345
DNK,2015,28.37,0.05986079234126854
FIN,2015,32.26,0.06984614749596556
FRA,2015,8.76,0.00952330787247454
DEU,2015,12.49,0.01909795433186269
GRC,2015,11.29,0.016017639117046123
HUN,2015,8.04,0.007675118743584601
ISL,2015,88.48,0.21415891531012154
IRL,2015,8.11,0.007854803797782235
ITA,2015,17.47,0.03188126247335142
LUX,2015,5.22,0.0004363779887656796
NLD,2015,5.05,0.0
NOR,2015,44.61,0.10154772491511936
POL,2015,9.59,0.01165385922938933
PRT,2015,21.53,0.04230299561681413
SVK,2015,8.54,0.008958583416424836
ESP,2015,14.35,0.023872442914828367
SWE,2015,45.89,0.10483339447759037
CHE,2015,22.35,0.044407877680272115
GBR,2015,7.66,0.0066996855922260255
EST,2015,17.36,0.03159890024532657
ISR,2015,5.32,0.0006930709233337279
SVN,2015,16.07,0.02828756138939877
