Time,GMSL,GMSL uncertainty
1880,-161.92000000000002,23.52
1885,-153.8,21.06
1890,-151.38000000000002,20.78
1895,-142.5,20.619999999999997
1900,-126.28,17.619999999999997
1905,-131.62,14.76
1910,-121.46,14.4
1915,-103.6,12.98
1920,-111.7,13.040000000000001
1925,-115.1,13.14
1930,-103.42,11.959999999999999
1935,-93.84,11.92
1940,-83.1,10.92
1945,-75.36,9.92
1950,-60.96,7.68
1955,-52.52,6.92
1960,-45.339999999999996,6.62
1965,-42.019999999999996,6.68
1970,-31.26,6.92
1975,-21.72,6.720000000000001
1980,-7.7,6.459999999999999
1985,-10.18,6.279999999999999
1990,2.7800000000000002,6.56
1995,14.84,6.659999999999999
2000,25.56,6.779999999999999
2005,40.28,6.859999999999999
2010,66.75,7.75
